civA Name, civB Name, CivA total techs, CivB total techs, shared techs
Armenians,Armenians,136,136,136
Armenians,Aztecs,136,127,112
Armenians,Bengalis,136,142,120
Armenians,Berbers,136,144,123
Armenians,Bohemians,136,140,124
Armenians,Britons,136,140,126
Armenians,Bulgarians,136,134,114
Armenians,Burgundians,136,140,120
Armenians,Burmese,136,141,122
Armenians,Byzantines,136,147,126
Armenians,Celts,136,136,121
Armenians,Chinese,136,142,126
Armenians,Cumans,136,128,111
Armenians,Dravidians,136,139,119
Armenians,Ethiopians,136,141,123
Armenians,Franks,136,134,120
Armenians,Georgians,136,140,123
Armenians,Goths,136,125,113
Armenians,Gurjaras,136,137,113
Armenians,Hindustanis,136,133,113
Armenians,Huns,136,122,111
Armenians,Incas,136,133,115
Armenians,Italians,136,145,125
Armenians,Japanese,136,141,125
Armenians,Khmer,136,139,119
Armenians,Koreans,136,142,120
Armenians,Lithuanians,136,142,122
Armenians,Magyars,136,135,120
Armenians,Malay,136,139,122
Armenians,Malians,136,141,122
Armenians,Mayans,136,131,114
Armenians,Mongols,136,135,118
Armenians,Persians,136,140,118
Armenians,Poles,136,136,118
Armenians,Portuguese,136,146,126
Armenians,Romans,136,128,115
Armenians,Saracens,136,145,123
Armenians,Sicilians,136,137,119
Armenians,Slavs,136,135,122
Armenians,Spanish,136,148,127
Armenians,Tatars,136,139,118
Armenians,Teutons,136,142,125
Armenians,Turks,136,144,123
Armenians,Vietnamese,136,143,123
Armenians,Vikings,136,132,118
Aztecs,Aztecs,127,127,127
Aztecs,Bengalis,127,142,115
Aztecs,Berbers,127,144,115
Aztecs,Bohemians,127,140,115
Aztecs,Britons,127,140,116
Aztecs,Bulgarians,127,134,108
Aztecs,Burgundians,127,140,112
Aztecs,Burmese,127,141,113
Aztecs,Byzantines,127,147,117
Aztecs,Celts,127,136,113
Aztecs,Chinese,127,142,114
Aztecs,Cumans,127,128,103
Aztecs,Dravidians,127,139,110
Aztecs,Ethiopians,127,141,115
Aztecs,Franks,127,134,112
Aztecs,Georgians,127,140,113
Aztecs,Goths,127,125,101
Aztecs,Gurjaras,127,137,107
Aztecs,Hindustanis,127,133,106
Aztecs,Huns,127,122,99
Aztecs,Incas,127,133,122
Aztecs,Italians,127,145,116
Aztecs,Japanese,127,141,116
Aztecs,Khmer,127,139,111
Aztecs,Koreans,127,142,113
Aztecs,Lithuanians,127,142,111
Aztecs,Magyars,127,135,111
Aztecs,Malay,127,139,114
Aztecs,Malians,127,141,115
Aztecs,Mayans,127,131,118
Aztecs,Mongols,127,135,111
Aztecs,Persians,127,140,107
Aztecs,Poles,127,136,113
Aztecs,Portuguese,127,146,115
Aztecs,Romans,127,128,105
Aztecs,Saracens,127,145,117
Aztecs,Sicilians,127,137,112
Aztecs,Slavs,127,135,114
Aztecs,Spanish,127,148,115
Aztecs,Tatars,127,139,108
Aztecs,Teutons,127,142,116
Aztecs,Turks,127,144,110
Aztecs,Vietnamese,127,143,113
Aztecs,Vikings,127,132,112
Bengalis,Bengalis,142,142,142
Bengalis,Berbers,142,144,125
Bengalis,Bohemians,142,140,127
Bengalis,Britons,142,140,130
Bengalis,Bulgarians,142,134,118
Bengalis,Burgundians,142,140,124
Bengalis,Burmese,142,141,132
Bengalis,Byzantines,142,147,125
Bengalis,Celts,142,136,120
Bengalis,Chinese,142,142,126
Bengalis,Cumans,142,128,110
Bengalis,Dravidians,142,139,129
Bengalis,Ethiopians,142,141,124
Bengalis,Franks,142,134,121
Bengalis,Georgians,142,140,123
Bengalis,Goths,142,125,112
Bengalis,Gurjaras,142,137,122
Bengalis,Hindustanis,142,133,121
Bengalis,Huns,142,122,108
Bengalis,Incas,142,133,119
Bengalis,Italians,142,145,130
Bengalis,Japanese,142,141,131
Bengalis,Khmer,142,139,127
Bengalis,Koreans,142,142,125
Bengalis,Lithuanians,142,142,126
Bengalis,Magyars,142,135,123
Bengalis,Malay,142,139,125
Bengalis,Malians,142,141,123
Bengalis,Mayans,142,131,117
Bengalis,Mongols,142,135,115
Bengalis,Persians,142,140,120
Bengalis,Poles,142,136,119
Bengalis,Portuguese,142,146,128
Bengalis,Romans,142,128,118
Bengalis,Saracens,142,145,128
Bengalis,Sicilians,142,137,119
Bengalis,Slavs,142,135,123
Bengalis,Spanish,142,148,127
Bengalis,Tatars,142,139,121
Bengalis,Teutons,142,142,125
Bengalis,Turks,142,144,124
Bengalis,Vietnamese,142,143,127
Bengalis,Vikings,142,132,119
Berbers,Berbers,144,144,144
Berbers,Bohemians,144,140,128
Berbers,Britons,144,140,129
Berbers,Bulgarians,144,134,123
Berbers,Burgundians,144,140,128
Berbers,Burmese,144,141,130
Berbers,Byzantines,144,147,133
Berbers,Celts,144,136,126
Berbers,Chinese,144,142,129
Berbers,Cumans,144,128,118
Berbers,Dravidians,144,139,121
Berbers,Ethiopians,144,141,130
Berbers,Franks,144,134,128
Berbers,Georgians,144,140,127
Berbers,Goths,144,125,118
Berbers,Gurjaras,144,137,124
Berbers,Hindustanis,144,133,126
Berbers,Huns,144,122,114
Berbers,Incas,144,133,119
Berbers,Italians,144,145,134
Berbers,Japanese,144,141,131
Berbers,Khmer,144,139,128
Berbers,Koreans,144,142,127
Berbers,Lithuanians,144,142,131
Berbers,Magyars,144,135,126
Berbers,Malay,144,139,126
Berbers,Malians,144,141,133
Berbers,Mayans,144,131,116
Berbers,Mongols,144,135,127
Berbers,Persians,144,140,130
Berbers,Poles,144,136,125
Berbers,Portuguese,144,146,131
Berbers,Romans,144,128,118
Berbers,Saracens,144,145,135
Berbers,Sicilians,144,137,123
Berbers,Slavs,144,135,127
Berbers,Spanish,144,148,133
Berbers,Tatars,144,139,129
Berbers,Teutons,144,142,130
Berbers,Turks,144,144,133
Berbers,Vietnamese,144,143,130
Berbers,Vikings,144,132,123
Bohemians,Bohemians,140,140,140
Bohemians,Britons,140,140,130
Bohemians,Bulgarians,140,134,119
Bohemians,Burgundians,140,140,132
Bohemians,Burmese,140,141,129
Bohemians,Byzantines,140,147,130
Bohemians,Celts,140,136,124
Bohemians,Chinese,140,142,130
Bohemians,Cumans,140,128,111
Bohemians,Dravidians,140,139,124
Bohemians,Ethiopians,140,141,130
Bohemians,Franks,140,134,124
Bohemians,Georgians,140,140,126
Bohemians,Goths,140,125,115
Bohemians,Gurjaras,140,137,119
Bohemians,Hindustanis,140,133,120
Bohemians,Huns,140,122,110
Bohemians,Incas,140,133,120
Bohemians,Italians,140,145,133
Bohemians,Japanese,140,141,131
Bohemians,Khmer,140,139,125
Bohemians,Koreans,140,142,130
Bohemians,Lithuanians,140,142,130
Bohemians,Magyars,140,135,121
Bohemians,Malay,140,139,129
Bohemians,Malians,140,141,127
Bohemians,Mayans,140,131,118
Bohemians,Mongols,140,135,119
Bohemians,Persians,140,140,121
Bohemians,Poles,140,136,126
Bohemians,Portuguese,140,146,134
Bohemians,Romans,140,128,118
Bohemians,Saracens,140,145,130
Bohemians,Sicilians,140,137,118
Bohemians,Slavs,140,135,123
Bohemians,Spanish,140,148,133
Bohemians,Tatars,140,139,122
Bohemians,Teutons,140,142,131
Bohemians,Turks,140,144,129
Bohemians,Vietnamese,140,143,130
Bohemians,Vikings,140,132,122
Britons,Britons,140,140,140
Britons,Bulgarians,140,134,121
Britons,Burgundians,140,140,128
Britons,Burmese,140,141,131
Britons,Byzantines,140,147,131
Britons,Celts,140,136,130
Britons,Chinese,140,142,133
Britons,Cumans,140,128,115
Britons,Dravidians,140,139,125
Britons,Ethiopians,140,141,131
Britons,Franks,140,134,129
Britons,Georgians,140,140,128
Britons,Goths,140,125,118
Britons,Gurjaras,140,137,118
Britons,Hindustanis,140,133,119
Britons,Huns,140,122,113
Britons,Incas,140,133,122
Britons,Italians,140,145,132
Britons,Japanese,140,141,134
Britons,Khmer,140,139,128
Britons,Koreans,140,142,131
Britons,Lithuanians,140,142,128
Britons,Magyars,140,135,128
Britons,Malay,140,139,126
Britons,Malians,140,141,129
Britons,Mayans,140,131,121
Britons,Mongols,140,135,122
Britons,Persians,140,140,126
Britons,Poles,140,136,125
Britons,Portuguese,140,146,131
